"customer","I_Superscalping","C_Superscalping","R_Superscalping","F_Superscalping","M_Superscalping","I_Scalping","C_Scalping","R_Scalping","F_Scalping","M_Scalping","I_Daytrade","C_Daytrade","R_Daytrade","F_Daytrade","M_Daytrade","I_Swing","C_Swing","R_Swing","F_Swing","M_Swing","I_Position","C_Position","R_Position","F_Position","M_Position","I_US_Open","C_US_Open","R_US_Open","F_US_Open","I_US_Close","C_US_Close","R_US_Close","F_US_Close","M_US_Close","I_Asia_Open","C_Asia_Open","R_Asia_Open","F_Asia_Open","I_Asia_Close","C_Asia_Close","R_Asia_Close","F_Asia_Close","M_Asia_Close","I_Europe_Open","C_Europe_Open","R_Europe_Open","F_Europe_Open","I_Europe_Close","C_Europe_Close","R_Europe_Close","F_Europe_Close","M_Europe_Close","I_majorcurrency","C_majorcurrency","R_majorcurrency","F_majorcurrency","M_majorcurrency","I_minorcurrency","C_minorcurrency","R_minorcurrency","F_minorcurrency","M_minorcurrency","C_trade","R_trade","F_trade","M_trade"
"B932",1,12,1,"1.143","-5.663",0,0,27,"0","0",1,10,0,"0.607","-25.378",1,3,1,"0.107","-4.152",1,7,1,"0.857","-58.290",1,5,1,"0.179",1,3,1,"0.143","-1.096",1,13,1,"1.821",1,13,1,"2.071","-71.841",1,10,1,"0.714",1,7,1,"0.500","-20.546",1,8,1,"0.643","-11.057",1,13,1,"2.071","-82.426",14,1,"2.714","-93.483"
"B934",1,21,1,"7.071","-10.212",1,8,1,"0.607","0.444",1,20,1,"4.071","13.700",1,14,1,"1.679","-13.999",1,11,1,"1.179","37.064",1,6,1,"0.286",1,5,1,"0.250","-10.415",1,21,1,"7.107",1,22,1,"7.500","11.592",1,20,1,"7.214",1,20,1,"6.857","25.819",1,22,1,"7.250","82.088",1,22,1,"7.357","-55.091",22,1,"14.607","26.997"
"B938",1,14,1,"3.143","-2.433",1,3,14,"0.143","-2.076",1,8,1,"1.250","-23.030",1,6,1,"0.393","8.859",1,11,1,"1.857","-73.566",1,2,12,"0.071",1,2,1,"0.143","14.020",1,14,1,"3.179",1,17,1,"3.429","-72.017",1,16,2,"3.536",1,13,1,"3.214","-34.249",1,15,1,"1.714","-112.301",1,18,1,"5.071","20.055",18,1,"6.786","-92.246"
"B939",1,16,1,"1.643","-13.398",1,3,6,"0.143","-2.606",1,12,1,"0.786","-10.681",1,7,0,"0.286","-5.988",1,4,1,"0.500","-21.434",1,2,8,"0.071",1,1,12,"0.071","0.732",1,18,1,"2.929",1,16,1,"3.143","-45.516",1,8,3,"0.357",1,3,2,"0.143","-9.322",1,2,0,"0.107","-7.739",1,17,1,"3.250","-46.367",18,1,"3.357","-54.106"
"B940",1,11,2,"0.786","-3.619",1,1,21,"0.036","0.400",1,8,0,"0.464","7.998",1,1,2,"0.036","1.389",1,5,0,"0.786","-2.072",1,3,5,"0.143",1,3,2,"0.143","6.585",1,11,1,"1.036",1,8,0,"1.143","10.235",1,7,2,"0.929",1,7,2,"0.821","-12.724",1,10,0,"0.607","17.055",1,11,0,"1.500","-12.959",12,0,"2.107","4.096"
"B941",1,11,1,"0.643","-2.133",0,0,27,"0","0",1,8,0,"0.429","-28.126",1,2,0,"0.071","-2.126",1,6,1,"0.750","-33.214",1,7,3,"0.286",1,3,1,"0.143","-22.822",1,17,2,"1.286",1,12,0,"1.500","-36.840",1,8,1,"0.321",1,5,1,"0.250","-5.936",1,9,1,"0.714","-29.788",1,12,1,"1.179","-35.810",15,1,"1.893","-65.598"
"B942",1,18,1,"1.679","-23.934",1,1,20,"0.036","0.483",1,11,1,"0.893","-0.334",1,7,1,"0.357","12.857",1,15,1,"2.143","0.854",1,3,1,"0.143",0,0,27,"0","0",1,20,1,"4.679",1,20,1,"4.964","-5.310",1,7,3,"0.286",1,3,2,"0.143","-4.765",1,18,1,"1.893","47.856",1,15,1,"3.214","-57.930",20,1,"5.107","-10.074"
"B943",1,19,1,"1.536","-7.009",1,6,2,"0.214","-3.292",1,11,0,"0.714","-17.965",1,7,0,"0.500","-1.195",1,12,1,"1.036","-8.656",1,1,8,"0.036",0,0,27,"0","0",1,20,1,"3.679",1,21,1,"3.714","-27.161",1,8,1,"0.286",1,4,5,"0.286","-10.957",1,15,1,"1.286","-6.358",1,19,0,"2.714","-31.760",21,1,"4.000","-38.118"
"B945",1,12,1,"0.643","25.073",1,1,1,"0.036","-0.344",1,4,1,"0.179","7.996",0,0,27,"0","0",1,6,1,"0.786","-79.149",1,4,2,"0.179",1,3,2,"0.107","18.553",1,11,1,"0.821",1,8,1,"1.143","-70.701",1,13,1,"0.643",1,8,1,"0.393","5.724",1,3,0,"0.214","4.629",1,12,1,"1.429","-51.053",13,1,"1.643","-46.424"
"B95",1,4,1,"0.143","-1.098",0,0,27,"0","0",1,3,0,"0.143","4.354",1,1,10,"0.036","0.706",1,3,0,"0.536","-23.335",0,0,27,"0",1,1,10,"0.036","0.706",1,10,2,"0.536",1,3,0,"0.643","-20.720",1,8,1,"0.321",1,4,1,"0.179","0.642",1,1,0,"0.071","1.597",1,8,1,"0.786","-20.969",8,1,"0.857","-19.373"
"B951",1,10,2,"0.536","17.318",0,0,27,"0","0",1,5,1,"0.357","-2.047",1,4,0,"0.179","1.917",1,5,0,"0.393","1.047",1,2,2,"0.071",1,1,1,"0.036","5.894",1,11,1,"0.679",1,8,1,"1.036","-11.087",1,11,2,"0.714",1,7,2,"0.393","23.428",1,6,1,"0.357","-15.417",1,13,1,"1.107","33.653",13,1,"1.464","18.236"
"B957",1,16,1,"1.214","0.590",1,1,17,"0.036","0.219",1,13,0,"0.821","3.399",1,6,1,"0.286","-6.602",1,4,0,"0.679","11.559",1,1,8,"0.036",0,0,27,"0","0",1,13,1,"1.286",1,8,1,"1.714","12.046",1,18,2,"1.714",1,12,2,"1.321","-2.880",1,12,0,"1.786","7.167",1,11,1,"1.250","1.998",17,1,"3.036","9.165"
"B96",1,16,1,"1.357","-0.064",1,3,2,"0.107","-0.767",1,15,1,"1.143","-5.931",1,7,0,"0.357","-2.022",1,12,1,"1.143","8.894",1,3,2,"0.107",1,4,1,"0.179","11.466",1,18,1,"1.714",1,17,1,"2.464","-6.942",1,20,1,"2.286",1,18,1,"1.464","-4.416",1,20,1,"3.143","-1.904",1,8,1,"0.964","2.012",22,1,"4.107","0.109"
"B961",1,18,1,"3.214","-12.478",1,6,2,"0.214","-0.792",1,19,1,"2.893","-16.669",1,14,0,"0.929","19.038",1,12,1,"1.107","19.933",1,2,6,"0.071",1,1,6,"0.036","0.004",1,18,1,"5.000",1,18,1,"5.214","23.315",1,21,1,"3.286",1,18,1,"3.107","-14.288",1,8,1,"0.464","-16.041",1,20,1,"7.893","25.072",20,1,"8.357","9.031"
"B962",1,11,1,"0.571","-14.611",1,1,13,"0.036","-0.492",1,4,0,"0.286","12.428",0,0,27,"0","0",1,5,1,"0.571","-2.864",1,2,3,"0.071",1,1,14,"0.036","-9.029",1,15,1,"1.107",1,12,1,"1.214","12.470",1,7,3,"0.286",1,4,6,"0.214","-8.980",1,6,0,"0.393","4.135",1,10,1,"1.071","-9.674",12,1,"1.464","-5.539"
