"customer","I_Superscalping","C_Superscalping","R_Superscalping","F_Superscalping","M_Superscalping","I_Scalping","C_Scalping","R_Scalping","F_Scalping","M_Scalping","I_Daytrade","C_Daytrade","R_Daytrade","F_Daytrade","M_Daytrade","I_Swing","C_Swing","R_Swing","F_Swing","M_Swing","I_Position","C_Position","R_Position","F_Position","M_Position","I_US_Open","C_US_Open","R_US_Open","F_US_Open","I_US_Close","C_US_Close","R_US_Close","F_US_Close","M_US_Close","I_Asia_Open","C_Asia_Open","R_Asia_Open","F_Asia_Open","I_Asia_Close","C_Asia_Close","R_Asia_Close","F_Asia_Close","M_Asia_Close","I_Europe_Open","C_Europe_Open","R_Europe_Open","F_Europe_Open","I_Europe_Close","C_Europe_Close","R_Europe_Close","F_Europe_Close","M_Europe_Close","I_majorcurrency","C_majorcurrency","R_majorcurrency","F_majorcurrency","M_majorcurrency","I_minorcurrency","C_minorcurrency","R_minorcurrency","F_minorcurrency","M_minorcurrency","C_trade","R_trade","F_trade","M_trade"
"B10",1,20,1,"14.143","-36.385",1,13,1,"1.357","-50.860",1,21,1,"8.393","-231.977",1,15,0,"2.036","-158.024",1,15,1,"4.179","96.831",1,13,1,"4.857",1,15,1,"4.857","-46.083",1,17,1,"6.750",1,20,1,"8.250","-43.057",1,19,1,"18.500",1,21,1,"17.000","-291.275",1,16,1,"2.000","103.965",1,22,1,"28.107","-484.380",22,1,"30.107","-380.416"
"B100",1,19,1,"1.714","11.779",1,3,1,"0.107","2.321",1,12,1,"0.929","12.493",1,5,3,"0.179","5.675",1,13,1,"1.357","67.582",1,2,2,"0.071",1,1,1,"0.036","3.734",1,21,1,"3.964",1,21,1,"3.821","86.047",1,7,1,"0.250",1,7,1,"0.429","10.068",1,4,0,"0.286","18.253",1,21,1,"4.000","81.597",21,1,"4.286","99.850"
"B10009",1,19,1,"3.071","-22.422",1,4,1,"0.143","-0.856",1,14,1,"1.321","-0.494",1,9,2,"0.536","17.376",1,11,1,"1.821","8.361",1,4,5,"0.179",1,4,3,"0.179","5.304",1,12,1,"2.179",1,12,0,"2.536","-13.618",1,18,1,"4.536",1,17,1,"4.179","10.279",1,14,1,"1.286","-22.172",1,21,1,"5.607","24.138",21,1,"6.893","1.966"
"B10036",1,10,1,"0.679","11.533",0,0,27,"0","0",1,8,0,"0.536","-44.610",1,2,2,"0.071","-1.587",1,7,1,"0.714","-28.292",1,1,19,"0.036",0,0,27,"0","0",1,11,1,"1.250",1,11,0,"1.429","-22.889",1,12,1,"0.714",1,8,1,"0.571","-40.067",1,3,0,"0.214","-18.509",1,11,1,"1.786","-44.447",13,1,"2.000","-62.956"
"B10038",1,16,2,"2.000","-0.171",1,1,11,"0.036","0.178",1,17,1,"1.286","-17.702",1,7,0,"0.357","-6.004",1,7,0,"1.036","-24.305",1,6,2,"0.321",1,3,2,"0.179","-5.847",1,17,2,"2.786",1,17,1,"3.214","-58.545",1,16,2,"1.607",1,12,7,"1.321","16.390",1,10,1,"1.000","-37.309",1,17,0,"3.714","-10.694",18,1,"4.714","-48.003"
"B10080",1,21,1,"6.643","-45.093",1,15,1,"0.893","0.601",1,20,1,"4.143","-10.637",1,13,0,"1.107","29.783",1,11,1,"2.250","48.627",1,12,3,"2.000",1,11,3,"1.786","3.622",1,21,1,"6.821",1,22,1,"8.429","22.243",1,21,1,"6.214",1,21,1,"4.821","-2.585",1,22,1,"8.929","6.506",1,22,1,"6.107","16.775",22,1,"15.036","23.280"
"B10082",1,18,1,"9.500","-9.327",1,2,7,"0.107","0.260",1,18,1,"6.036","-31.614",1,13,0,"2.036","-13.529",1,12,1,"2.500","38.311",1,16,1,"2.000",1,15,1,"2.250","-72.397",1,19,1,"8.429",1,19,1,"8.821","55.691",1,18,1,"9.750",1,18,1,"9.107","0.807",1,19,1,"6.214","57.433",1,19,1,"13.964","-73.332",19,1,"20.179","-15.899"
"B1010",1,11,3,"0.679","-10.049",1,1,14,"0.036","12.466",1,7,1,"0.286","0.251",1,2,3,"0.107","6.686",1,4,0,"0.500","35.600",1,1,14,"0.036",1,2,1,"0.071","14.718",1,14,2,"1.250",1,14,1,"1.357","36.363",1,8,2,"0.321",1,5,2,"0.179","-6.128",1,3,0,"0.214","16.522",1,16,1,"1.393","28.431",17,1,"1.607","44.953"
"B1012",1,22,1,"4.571","-10.383",1,8,1,"0.571","-3.268",1,21,1,"2.643","6.689",1,13,1,"0.893","-4.535",1,13,1,"1.679","72.775",1,1,14,"0.036",1,5,1,"0.250","8.113",1,22,1,"8.893",1,23,1,"8.500","26.972",1,16,1,"1.429",1,19,1,"1.607","26.194",1,17,1,"1.929","29.437",1,23,1,"8.429","31.841",23,1,"10.357","61.279"
"B1013",1,21,1,"2.357","-0.700",1,1,19,"0.036","0.058",1,16,1,"1.143","0.941",1,6,1,"0.357","-8.237",1,11,1,"1.179","-41.780",1,1,2,"0.036",1,1,2,"0.071","-7.248",1,20,1,"3.536",1,20,1,"3.464","-6.214",1,17,1,"1.500",1,14,1,"1.536","-36.257",1,5,1,"0.286","-24.999",1,22,1,"4.786","-24.720",22,1,"5.071","-49.718"
"B1014",1,18,1,"2.429","-0.960",1,6,1,"0.250","-2.364",1,16,1,"1.357","-18.121",1,9,0,"0.571","0.024",1,9,1,"1.321","-10.060",1,4,5,"0.143",1,2,14,"0.071","8.104",1,18,1,"4.500",1,19,1,"4.643","-41.144",1,14,1,"1.286",1,11,1,"1.214","1.559",1,17,1,"1.893","-12.046",1,17,1,"4.036","-19.435",19,1,"5.929","-31.481"
"B10141",1,12,2,"2.464","-7.107",1,4,5,"0.429","-2.766",1,11,1,"1.393","-17.853",1,8,0,"0.679","-26.732",1,6,1,"0.929","11.722",1,3,3,"0.107",1,2,14,"0.107","-1.458",1,10,2,"3.250",1,11,1,"3.393","-27.475",1,12,2,"2.536",1,11,1,"2.393","-13.801",1,13,0,"1.464","38.373",1,14,1,"4.429","-81.107",16,1,"5.893","-42.734"
"B10176",1,25,1,"4.393","3.422",1,5,4,"0.286","-1.800",1,23,1,"3.036","-27.932",1,12,1,"0.750","2.065",1,4,1,"0.679","18.068",1,19,1,"2.571",1,17,1,"2.321","-13.436",1,18,1,"3.464",1,20,1,"3.964","5.738",1,19,3,"3.107",1,17,3,"2.857","1.520",1,26,1,"5.893","-30.076",1,19,0,"3.250","23.898",26,1,"9.143","-6.178"
"B10181",1,9,1,"0.429","-5.251",0,0,27,"0","0",1,5,0,"0.393","-6.271",1,1,5,"0.036","1.956",1,6,1,"0.750","-35.064",1,3,3,"0.107",1,2,12,"0.107","1.828",1,12,1,"1.071",1,8,1,"1.393","-41.187",1,10,1,"0.429",1,3,1,"0.107","-5.272",1,1,0,"0.143","-1.478",1,10,1,"1.464","-43.153",10,1,"1.607","-44.631"
"B1020",1,13,2,"1.500","18.691",1,1,11,"0.036","-0.582",1,4,1,"0.214","4.903",1,8,0,"0.679","0.950",1,13,1,"1.750","9.848",1,1,11,"0.036",1,4,1,"0.179","13.548",1,16,2,"2.286",1,13,0,"2.929","37.719",1,15,1,"1.857",1,12,1,"1.071","-17.457",1,2,1,"0.179","-13.248",1,15,1,"4.000","47.058",15,1,"4.179","33.810"
"B1021",1,10,1,"0.786","3.034",1,2,9,"0.143","-0.041",1,4,1,"0.286","-3.815",1,1,0,"0.036","-1.293",1,4,1,"0.643","-18.904",1,1,10,"0.036",1,1,10,"0.036","0.002",1,14,1,"1.536",1,9,1,"1.679","-21.124",1,7,7,"0.321",1,5,7,"0.179","0.102",1,3,0,"0.286","-6.597",1,11,1,"1.607","-14.423",11,1,"1.893","-21.019"
"B10210",1,10,1,"0.464","11.780",0,0,27,"0","0",1,4,0,"0.250","-8.241",1,2,0,"0.071","0.502",1,5,1,"0.571","-7.633",1,2,1,"0.071",1,1,1,"0.071","-10.027",1,12,2,"0.679",1,5,0,"0.750","2.327",1,12,1,"0.607",1,7,3,"0.536","4.107",1,5,1,"0.429","-6.667",1,9,0,"0.929","3.074",11,1,"1.357","-3.593"
"B10222",1,4,1,"0.286","-1.116",0,0,27,"0","0",1,3,1,"0.214","-1.697",1,1,0,"0.071","-5.163",1,4,1,"0.714","52.558",1,2,7,"0.071",0,0,27,"0","0",1,9,3,"0.464",1,3,1,"0.786","53.378",1,12,1,"0.750",1,3,1,"0.500","-8.796",1,1,0,"0.143","20.702",1,5,1,"1.143","23.880",5,1,"1.286","44.582"
"B1024",1,10,1,"0.500","-24.795",1,1,7,"0.036","-0.197",1,7,0,"0.357","-1.809",1,2,3,"0.071","6.078",1,5,1,"0.607","10.650",1,5,1,"0.250",1,1,14,"0.036","0.003",1,12,1,"0.821",1,10,1,"1.179","13.357",1,7,3,"0.500",1,4,3,"0.357","-23.432",1,8,0,"0.714","-16.446",1,8,1,"0.857","6.373",13,1,"1.571","-10.073"
"B10262",1,10,1,"0.571","-2.302",1,6,1,"0.250","-33.234",1,4,1,"0.250","-74.341",1,1,3,"0.107","-1.225",1,9,1,"0.893","-22.411",1,2,19,"0.179",1,2,19,"0.143","-1.934",1,10,1,"1.000",1,9,1,"1.321","17.083",1,11,1,"0.893",1,6,1,"0.607","-148.662",1,10,1,"0.893","11.836",1,12,1,"1.179","-145.351",13,1,"2.071","-133.514"
"B10271",1,18,1,"3.107","-9.701",1,6,9,"0.321","-2.791",1,12,1,"1.357","-9.379",1,9,0,"0.571","13.586",1,12,1,"1.571","-50.012",1,1,7,"0.036",1,4,1,"0.179","4.152",1,17,1,"3.679",1,18,1,"3.893","-39.281",1,17,1,"3.214",1,15,2,"2.857","-23.170",1,18,1,"2.321","0.468",1,19,1,"4.607","-58.766",20,1,"6.929","-58.298"
"B1028",1,20,1,"2.714","-1.138",1,4,2,"0.214","-0.649",1,15,1,"1.036","0.859",1,11,2,"0.500","-11.615",1,13,1,"1.643","63.622",1,7,2,"0.357",1,7,1,"0.464","3.015",1,15,1,"2.429",1,17,1,"2.357","27.774",1,21,1,"3.321",1,20,1,"3.286","20.289",1,19,1,"2.286","45.048",1,21,1,"3.821","6.030",22,1,"6.107","51.078"
"B10297",1,4,5,"0.214","-6.856",1,1,7,"0.071","0.170",0,0,27,"0","0",0,0,27,"0","0",1,3,1,"0.679","-44.734",1,2,13,"0.071",0,0,27,"0","0",1,9,5,"0.607",1,2,0,"0.786","-48.166",1,6,5,"0.286",1,4,1,"0.179","-3.254",1,4,1,"0.321","-26.328",1,3,0,"0.643","-25.092",6,1,"0.964","-51.420"
"B103",1,19,1,"31.357","-46.757",1,16,1,"6.107","-55.907",1,19,1,"16.107","-531.873",1,15,1,"5.036","-220.450",1,11,1,"1.893","-64.664",1,1,19,"0.036",1,12,1,"0.643","83.443",1,17,1,"23.071",1,19,1,"24.857","-391.603",1,20,1,"37.393",1,19,1,"35.000","-611.492",1,19,1,"7.179","18.582",1,21,1,"53.321","-938.233",21,1,"60.500","-919.651"
"B1030",1,20,1,"6.571","-5.259",1,7,3,"0.929","-11.301",1,20,1,"4.536","4.484",1,9,1,"1.179","-8.248",1,5,1,"0.714","-4.850",1,5,14,"0.179",1,2,18,"0.107","12.843",1,19,1,"8.929",1,19,1,"9.393","-37.531",1,18,1,"4.821",1,17,1,"4.429","-0.487",1,2,0,"0.179","-15.568",1,21,1,"13.750","-9.607",21,1,"13.929","-25.175"
"B10315",1,12,2,"1.536","6.084",1,3,7,"0.107","-3.703",1,13,0,"1.000","-27.590",1,6,1,"0.214","7.503",1,7,1,"0.893","-20.099",1,2,2,"0.071",1,3,1,"0.143","1.488",1,15,2,"2.821",1,16,1,"2.643","-33.617",1,14,2,"0.857",1,10,3,"0.964","-5.676",1,11,0,"0.714","-20.303",1,16,1,"3.036","-17.502",17,1,"3.750","-37.805"
"B10336",1,6,1,"0.393","-0.689",0,0,27,"0","0",1,2,0,"0.250","-0.649",1,2,0,"0.107","-0.531",1,4,0,"0.714","6.339",1,6,1,"0.286",1,3,1,"0.143","-7.424",1,11,3,"0.786",1,4,0,"1.250","10.457",1,8,1,"0.393",1,2,1,"0.071","1.437",1,5,1,"0.393","23.039",1,7,1,"1.071","-18.569",8,1,"1.464","4.470"
"B1034",1,17,1,"1.571","-6.885",1,1,1,"0.036","0.907",1,7,1,"0.750","15.405",1,5,0,"0.286","-7.699",1,7,1,"1.071","96.273",1,8,3,"0.679",1,9,1,"0.929","60.750",1,13,1,"1.321",1,13,1,"1.750","24.968",1,16,1,"1.714",1,13,1,"1.036","12.282",1,15,1,"1.536","115.827",1,16,1,"2.179","-17.827",19,1,"3.714","98.000"
"B10369",1,11,1,"1.500","-20.859",0,0,27,"0","0",1,8,0,"1.179","-10.950",1,5,0,"0.393","-0.904",1,8,1,"1.250","-59.421",1,6,1,"0.357",1,3,2,"0.357","-22.083",1,14,1,"2.679",1,11,1,"2.964","-70.135",1,13,1,"1.286",1,8,3,"1.000","0.083",1,8,0,"1.000","-25.933",1,13,1,"3.321","-66.201",13,1,"4.321","-92.134"
"B10396",1,11,1,"0.714","-11.429",1,1,7,"0.036","-0.738",1,8,3,"0.393","-5.530",1,4,0,"0.143","1.581",1,6,0,"0.643","-27.278",1,1,1,"0.036",1,1,1,"0.036","-1.626",1,11,3,"0.929",1,7,0,"0.714","-26.922",1,13,3,"0.964",1,12,3,"1.179","-14.846",1,12,1,"1.143","-22.841",1,8,0,"0.786","-20.552",14,1,"1.929","-43.393"
"B10453",1,8,1,"3.750","2.535",1,3,3,"0.179","-14.485",1,9,1,"2.071","-409.794",1,5,1,"0.393","94.954",1,8,1,"1.893","19.860",1,5,6,"0.393",1,3,6,"0.679","-248.958",1,12,1,"2.143",1,10,1,"2.929","84.677",1,14,1,"5.750",1,8,1,"4.679","-142.649",1,11,1,"5.286","33.322",1,11,1,"3.000","-340.252",12,1,"8.286","-306.930"
"B10461",1,13,1,"0.857","2.473",0,0,27,"0","0",1,5,1,"0.250","-20.299",1,4,2,"0.143","3.154",1,5,0,"0.714","26.901",1,2,2,"0.107",1,1,2,"0.071","-0.745",1,15,1,"1.357",1,12,1,"1.357","20.411",1,9,2,"0.500",1,6,5,"0.536","-7.436",1,7,0,"0.536","14.573",1,10,1,"1.429","-2.344",14,1,"1.964","12.229"
"B1049",1,19,1,"6.429","-39.356",1,11,1,"0.786","-104.285",1,20,1,"3.357","-362.474",1,13,1,"1.250","-23.662",1,12,1,"2.000","-91.703",1,12,5,"3.321",1,9,5,"2.786","-81.337",1,15,1,"5.036",1,18,1,"5.857","-312.947",1,14,1,"5.464",1,18,1,"5.179","-227.196",1,19,1,"4.143","25.270",1,20,1,"9.679","-646.750",20,1,"13.821","-621.480"
"B1052",1,9,2,"0.679","14.466",0,0,27,"0","0",1,5,1,"0.250","-6.386",0,0,27,"0","0",1,3,0,"0.464","-21.613",1,1,7,"0.036",1,1,7,"0.036","-0.103",1,9,1,"1.000",1,6,0,"1.143","-28.785",1,7,2,"0.357",1,5,1,"0.214","15.355",1,1,0,"0.071","-15.194",1,11,1,"1.321","1.661",11,1,"1.393","-13.533"
"B10520",1,12,1,"1.214","-3.189",0,0,27,"0","0",1,5,1,"0.500","-31.675",1,4,0,"0.179","-1.845",1,7,1,"1.143","4.166",1,2,11,"0.071",1,1,19,"0.036","3.474",1,17,1,"1.714",1,9,1,"2.107","-49.693",1,14,1,"1.250",1,9,1,"0.893","13.675",1,11,1,"1.214","20.734",1,12,1,"1.821","-53.277",15,1,"3.036","-32.544"
"B1053",1,22,1,"4.893","-3.755",1,3,11,"0.107","-0.148",1,21,1,"2.964","-27.491",1,15,1,"1.036","-44.400",1,11,1,"1.643","-129.551",1,15,1,"1.429",1,15,1,"1.643","-5.471",1,22,1,"4.429",1,21,1,"5.286","-170.948",1,22,1,"4.786",1,21,1,"3.714","-28.927",1,22,1,"3.750","-125.509",1,23,1,"6.893","-79.837",23,1,"10.643","-205.345"
"B10543",1,13,1,"2.679","3.491",1,4,3,"0.250","-1.319",1,8,0,"1.393","-4.993",1,5,0,"0.321","11.056",1,7,1,"0.929","-36.399",1,4,2,"0.143",1,1,2,"0.036","0.003",1,13,1,"2.429",1,12,1,"2.786","-10.454",1,13,1,"3.000",1,12,1,"2.750","-17.713",1,3,0,"0.321","-0.174",1,14,1,"5.250","-27.990",14,1,"5.571","-28.164"
"B1055",1,19,1,"4.786","-122.941",1,3,11,"0.143","-11.961",1,17,1,"2.036","-131.885",1,10,0,"0.643","-9.305",1,11,1,"1.429","-46.941",1,6,3,"0.536",1,6,3,"0.607","-24.153",1,19,1,"6.714",1,19,1,"6.964","-277.224",1,15,1,"1.786",1,9,1,"1.464","-21.655",1,3,0,"0.321","-27.800",1,20,1,"8.714","-295.232",20,1,"9.036","-323.032"
"B1056",1,15,3,"1.071","-5.715",1,1,20,"0.036","0.059",1,7,0,"0.286","-9.231",1,5,0,"0.214","-4.696",1,10,1,"1.321","-0.851",1,2,8,"0.107",1,1,8,"0.071","1.676",1,17,3,"2.214",1,16,0,"2.607","-21.645",1,11,1,"0.607",1,5,1,"0.250","-0.464",1,12,1,"1.000","-26.547",1,15,0,"1.929","6.114",19,1,"2.929","-20.433"
"B1057",1,16,1,"3.786","-12.857",1,2,14,"0.071","-0.165",1,12,1,"0.857","2.621",1,7,0,"0.393","2.253",1,12,1,"1.464","18.324",1,2,15,"0.071",1,3,1,"0.143","2.804",1,19,1,"6.000",1,17,1,"6.000","-1.593",1,10,1,"0.500",1,9,1,"0.429","8.965",1,15,1,"1.321","22.150",1,20,1,"5.250","-11.975",20,1,"6.571","10.175"
"B10591",1,10,6,"1.179","-26.865",0,0,27,"0","0",1,8,0,"0.500","-184.585",1,5,8,"0.179","-6.224",1,8,0,"1.036","16.924",1,3,2,"0.107",1,3,9,"0.179","-49.415",1,11,5,"1.571",1,9,0,"1.643","1.123",1,12,2,"1.214",1,7,6,"1.071","-152.458",1,2,0,"0.107","16.404",1,11,0,"2.786","-217.155",12,0,"2.893","-200.751"
"B10593",1,13,3,"0.857","5.316",0,0,27,"0","0",1,5,0,"0.286","-2.970",1,6,3,"0.214","6.162",1,4,0,"0.571","1.805",1,4,6,"0.179",1,3,6,"0.143","9.847",1,16,2,"0.857",1,8,0,"1.036","-6.131",1,18,2,"0.893",1,11,3,"0.750","6.597",1,12,0,"0.857","1.087",1,9,0,"1.071","9.225",14,0,"1.929","10.312"
"B10644",1,10,3,"0.429","-8.743",1,3,3,"0.107","0.504",1,5,1,"0.214","-5.624",1,4,0,"0.286","-6.382",1,6,0,"0.893","-28.876",1,4,7,"0.143",1,1,12,"0.071","1.099",1,13,1,"1.286",1,11,0,"1.607","-39.542",1,10,2,"0.500",1,5,1,"0.250","-10.677",1,12,0,"0.929","-39.454",1,7,1,"1.000","-9.667",15,1,"1.929","-49.121"
"B10658",1,15,1,"1.071","-2.087",1,8,2,"0.286","-2.628",1,13,1,"0.893","-2.988",1,2,2,"0.071","-1.425",1,6,1,"0.750","-40.010",1,6,1,"0.286",1,3,1,"0.357","17.224",1,14,2,"1.429",1,13,0,"1.714","-27.846",1,17,2,"1.357",1,13,1,"1.000","-38.517",1,2,1,"0.179","40.119",1,17,1,"2.893","-89.257",17,1,"3.071","-49.138"
"B10671",1,7,2,"0.429","-2.944",0,0,27,"0","0",1,5,0,"0.179","-1.199",0,0,27,"0","0",1,8,1,"0.679","32.137",1,2,2,"0.071",1,2,2,"0.071","5.346",1,10,2,"0.643",1,7,1,"0.857","19.133",1,9,2,"0.571",1,7,1,"0.357","3.514",1,4,1,"0.179","10.555",1,9,1,"1.107","17.439",12,1,"1.286","27.993"
"B10678",1,5,7,"0.464","2.906",1,3,7,"0.179","-38.169",1,2,7,"0.107","-18.441",1,1,0,"0.036","-2.311",1,3,0,"0.821","33.773",1,1,13,"0.036",0,0,27,"0","0",1,9,3,"1.214",1,6,0,"1.500","-25.010",1,7,8,"0.357",1,1,8,"0.107","2.768",1,5,0,"0.571","51.985",1,5,0,"1.036","-74.227",6,0,"1.607","-22.242"
"B1068",1,14,1,"1.821","-0.686",1,1,19,"0.036","-0.207",1,6,1,"0.643","-17.389",1,3,0,"0.250","5.672",1,6,1,"1.286","-31.318",1,3,1,"0.143",1,3,1,"0.143","-3.640",1,12,2,"2.429",1,12,0,"2.714","-34.981",1,12,1,"1.464",1,9,1,"1.179","-5.306",1,13,1,"3.107","-64.786",1,8,1,"0.929","20.859",15,1,"4.036","-43.928"
"B10682",1,8,1,"0.429","-13.475",0,0,27,"0","0",1,3,0,"0.250","5.319",1,2,2,"0.071","-3.093",1,2,1,"0.321","13.913",1,4,2,"0.143",1,2,5,"0.071","-3.210",1,12,1,"0.750",1,6,0,"0.857","1.565",1,4,1,"0.179",1,3,1,"0.143","4.309",1,1,15,"0.071","-0.337",1,10,1,"1.000","3.000",10,1,"1.071","2.663"
"B1069",1,14,1,"1.250","-1.130",1,5,7,"0.179","-0.606",1,9,1,"0.500","-0.218",1,6,0,"0.357","0.456",1,7,1,"1.036","8.458",1,2,20,"0.071",1,2,6,"0.071","10.929",1,17,1,"2.786",1,16,1,"2.929","6.828",1,9,1,"0.464",1,5,1,"0.321","-10.797",1,8,0,"0.643","-12.093",1,17,1,"2.679","19.053",17,1,"3.321","6.960"
"B1070",1,21,1,"4.679","-19.417",0,0,27,"0","0",1,18,1,"2.429","-23.247",1,10,1,"0.643","1.873",1,16,1,"2.393","79.604",1,6,1,"0.286",1,4,3,"0.179","18.173",1,17,1,"6.429",1,18,1,"6.929","-1.512",1,13,1,"3.429",1,12,1,"3.036","22.151",1,19,1,"2.321","60.954",1,22,1,"7.821","-22.142",22,1,"10.143","38.812"
"B10704",1,7,2,"0.393","3.039",0,0,27,"0","0",1,4,0,"0.143","-8.888",1,3,0,"0.107","-5.753",1,6,1,"0.679","17.396",1,2,3,"0.071",0,0,27,"0","0",1,13,2,"0.857",1,10,1,"0.964","10.558",1,6,7,"0.393",1,3,7,"0.357","-4.765",1,2,0,"0.143","-10.098",1,10,1,"1.179","15.891",11,1,"1.321","5.793"
"B10734",1,6,1,"0.500","1.481",0,0,27,"0","0",1,4,1,"0.429","-12.297",1,1,14,"0.036","-0.676",1,6,1,"0.893","-64.467",1,1,18,"0.036",0,0,27,"0","0",1,12,1,"1.393",1,6,1,"1.750","-73.235",1,9,1,"0.429",1,2,14,"0.107","-2.724",1,3,1,"0.250","5.218",1,7,1,"1.607","-81.177",7,1,"1.857","-75.959"
"B1075",1,19,1,"3.714","7.985",1,5,9,"0.214","-2.025",1,12,1,"1.500","-18.738",1,8,0,"0.679","-22.692",1,15,1,"2.214","-7.781",1,3,3,"0.107",1,2,3,"0.071","10.954",1,19,1,"7.321",1,20,1,"7.393","-52.025",1,13,2,"0.893",1,12,2,"0.857","-2.179",1,16,1,"2.250","-23.256",1,20,1,"6.071","-19.994",20,1,"8.321","-43.251"
"B10759",1,14,1,"1.357","-16.452",1,5,3,"0.393","3.723",1,5,0,"0.250","-12.407",1,2,0,"0.143","-2.949",1,6,0,"1.107","-12.678",1,2,3,"0.071",0,0,27,"0","0",1,12,1,"2.607",1,11,1,"2.786","-49.379",1,12,3,"0.571",1,9,3,"0.464","8.616",1,8,0,"0.964","-13.939",1,14,1,"2.286","-26.824",15,1,"3.250","-40.764"
"B1076",1,22,1,"17.179","-166.521",1,14,2,"0.786","-85.714",1,23,1,"12.286","-1,036.339",1,15,1,"3.179","-150.275",1,14,1,"2.357","-51.341",1,19,1,"2.929",1,20,1,"3.393","-306.524",1,21,1,"20.071",1,22,1,"19.821","-686.647",1,21,1,"12.786",1,21,1,"12.571","-497.019",1,20,1,"3.679","-7.248",1,23,1,"32.107","-1,482.942",24,1,"35.786","-1,490.190"
"B1077",1,16,2,"1.429","-18.221",1,1,5,"0.036","-0.846",1,7,1,"0.286","4.933",1,3,2,"0.107","2.847",1,11,1,"1.107","-38.416",1,4,2,"0.179",1,2,2,"0.107","-5.108",1,18,1,"2.393",1,17,1,"2.393","-29.197",1,8,7,"0.393",1,10,1,"0.464","-15.399",1,9,1,"0.536","-5.934",1,18,1,"2.429","-43.769",18,1,"2.964","-49.703"
"B10775",1,12,1,"1.536","-6.912",1,6,1,"0.250","-1.350",1,10,1,"0.857","9.169",1,6,0,"0.286","3.718",1,9,1,"0.929","-82.032",1,7,1,"0.786",1,6,1,"0.893","-7.614",1,7,6,"0.571",1,5,0,"1.071","-132.860",1,15,1,"2.500",1,11,1,"1.893","63.069",1,11,1,"1.000","-11.383",1,13,1,"2.857","-66.023",13,1,"3.857","-77.406"
"B10795",1,15,1,"2.750","10.777",1,5,6,"0.321","-1.101",1,13,1,"0.857","-0.318",1,8,0,"0.500","13.972",1,9,1,"1.429","-8.320",1,3,1,"0.107",1,4,1,"0.143","9.155",1,16,1,"5.107",1,17,1,"5.357","7.320",1,12,1,"0.643",1,7,6,"0.357","-1.465",1,12,1,"1.000","29.623",1,19,1,"4.857","-14.612",19,1,"5.857","15.010"
"B1082",1,19,1,"4.607","-0.030",1,6,1,"0.357","17.156",1,19,1,"2.500","-508.491",1,10,0,"0.786","-152.424",1,13,1,"1.571","-11.742",1,15,1,"2.179",1,12,1,"1.679","-57.226",1,16,1,"3.500",1,19,1,"4.250","-262.113",1,19,1,"4.143",1,17,1,"3.893","-336.192",1,5,1,"0.357","23.390",1,20,1,"9.464","-678.921",20,1,"9.821","-655.531"
"B10844",1,7,5,"0.321","-15.944",1,1,5,"0.036","0.151",1,3,0,"0.143","-5.040",1,1,0,"0.036","1.602",1,6,1,"0.536","29.737",1,1,14,"0.036",1,2,2,"0.071","9.059",1,9,1,"0.464",1,3,0,"0.607","7.255",1,10,3,"0.571",1,6,1,"0.393","-5.808",1,4,1,"0.321","39.697",1,8,0,"0.750","-29.190",10,1,"1.071","10.507"
"B10857",1,17,1,"1.357","-4.967",0,0,27,"0","0",1,10,1,"0.750","15.422",1,3,9,"0.143","20.094",1,12,1,"0.893","23.728",1,2,5,"0.071",1,3,3,"0.143","8.661",1,19,1,"1.893",1,16,1,"1.893","-18.849",1,14,2,"1.179",1,14,1,"1.107","64.464",1,10,1,"0.500","-13.929",1,19,1,"2.643","68.206",19,1,"3.143","54.277"
"B1087",1,15,1,"6.571","-15.947",1,5,2,"1.357","-10.722",1,17,1,"3.536","4.168",1,7,2,"0.500","-31.101",1,7,1,"1.179","20.628",1,1,19,"0.036",1,3,1,"0.107","5.014",1,14,1,"9.000",1,15,1,"9.000","-54.958",1,15,1,"4.107",1,16,1,"4.036","16.970",1,17,1,"4.464","73.590",1,19,1,"8.679","-106.564",19,1,"13.143","-32.974"
"B10872",1,8,7,"0.357","3.201",0,0,27,"0","0",1,4,0,"0.143","-0.435",1,3,0,"0.107","-10.361",1,4,0,"0.607","-44.571",1,6,3,"0.214",1,2,11,"0.107","3.297",1,10,3,"0.607",1,7,0,"0.929","-58.312",1,10,1,"0.393",1,4,2,"0.179","2.849",1,6,0,"0.286","1.175",1,8,0,"0.929","-53.340",11,0,"1.214","-52.166"
"B1089",1,10,3,"1.071","-1.516",0,0,27,"0","0",1,5,1,"0.250","5.397",1,2,12,"0.071","-0.867",1,9,1,"1.179","160.405",1,4,1,"0.143",0,0,27,"0","0",1,15,3,"2.179",1,14,1,"2.464","158.672",1,5,2,"0.250",1,3,1,"0.107","4.748",1,4,1,"0.429","70.187",1,13,0,"2.143","93.233",14,1,"2.571","163.420"
"B10905",1,15,1,"1.143","-0.675",1,3,15,"0.107","1.098",1,12,1,"0.893","-18.969",1,4,2,"0.179","5.117",1,6,1,"1.179","97.721",1,7,1,"0.321",1,5,1,"0.393","5.184",1,13,1,"1.214",1,12,1,"1.786","67.726",1,19,1,"1.964",1,15,1,"1.321","11.381",1,17,1,"2.571","44.732",1,6,1,"0.929","39.558",18,1,"3.500","84.290"
